Problem ID;Items count;Known result;Brute force result;Time [s];Relative error;Cost to weight ration heuristics result;Time [s];Relative error
9000;4;473;473;0.00001916245035727704317916;0;473;0.000009923411792161325932065;0
9001;4;326;326;0.00001231871808682095632946;0;326;0.000005132799202842065137275;0
9002;4;196;196;0.000011976531473298151986975;0;62;0.00000615935904341047816473;0.6836734693877551020408163265
9003;4;545;545;0.000012660904700343760671945;0;545;0.00001231871808682095632946;0
9004;4;243;243;0.00001779370390318582580922;0;243;0.00000479061258931926079479;0
9005;4;563;563;0.00001505621099500339106934;0;563;0.00000752810549750169553467;0
9006;4;410;410;0.00002942804876296117345371;0;410;0.000007870292111024499877155;0
9007;4;375;375;0.00001300309131386656501443;0;375;0.00000615935904341047816473;0
9008;4;235;235;0.0000136874645409121736994;0;224;0.000005817172429887673822245;0.0468085106382978723404255319
9009;4;224;224;0.00001916245035727704317916;0;163;0.00000479061258931926079479;0.2723214285714285714285714286
9010;4;297;297;0.0000205311968113682605491;0;289;0.00000615935904341047816473;0.0269360269360269360269360269
9011;4;459;459;0.000012660904700343760671945;0;459;0.000005817172429887673822245;0
9012;4;325;325;0.000019504636970799847521645;0;325;0.000006501545656933282507215;0
9013;4;431;431;0.000014029651154434978041885;0;431;0.000053723298323080281770145;0
9014;4;472;472;0.0000136874645409121736994;0;472;0.000007185918883978891192185;0
9015;4;230;230;0.000011976531473298151986975;0;213;0.000005132799202842065137275;0.0739130434782608695652173913
9016;4;452;452;0.00001231871808682095632946;0;452;0.000014714024381480586726855;0
9017;4;306;306;0.000011976531473298151986975;0;306;0.00000479061258931926079479;0
9018;4;483;483;0.000012660904700343760671945;0;483;0.00000547498581636486947976;0
9019;4;227;227;0.00001710933067614021712425;0;227;0.000004448425975796456452305;0
9020;4;229;229;0.00001163434485977534764449;0;229;0.00000547498581636486947976;0
9021;4;496;496;0.000014029651154434978041885;0;496;0.000005132799202842065137275;0
9022;4;286;286;0.000018135890516708630151705;0;286;0.000005132799202842065137275;0
